path,ext,size,terms,counts
BIOS/VGA/SETPALET.ASM,.ASM,9009,interrupt,"{""interrupt"": 2}"
BIOS/VGA/STATE.ASM,.ASM,20947,interrupt read,"{""interrupt"": 2, ""read"": 18}"
BIOS/VGA/STATUS.ASM,.ASM,4777,read,"{""read"": 1}"
BIOS/VGA/VESA.ASM,.ASM,84523,GRYPHON strategy interrupt read,"{""GRYPHON"": 13, ""interrupt"": 2, ""read"": 31, ""strategy"": 1}"
BIOS/VGA/VESA.LST,.LST,163787,GRYPHON strategy interrupt read,"{""GRYPHON"": 14, ""interrupt"": 2, ""read"": 31, ""strategy"": 1}"
BIOS/VGA/VGA.MAP,.MAP,6338,GRYPHON read,"{""GRYPHON"": 1, ""read"": 3}"
BIOS/VGA/WRTCHR.ASM,.ASM,13091,interrupt,"{""interrupt"": 1}"
BIOS/VGA/WRTDOT.ASM,.ASM,4997,read,"{""read"": 1}"
BIOS/VGA_PAL/ALTFUNC.ASM,.ASM,9439,read,"{""read"": 1}"
BIOS/VGA_PAL/ALTFUNC.LST,.LST,36616,read,"{""read"": 1}"
BIOS/VGA_PAL/CURTYPE.ASM,.ASM,7626,read,"{""read"": 4}"
BIOS/VGA_PAL/DSPCODE.ASM,.ASM,3099,read,"{""read"": 3}"
BIOS/VGA_PAL/EGASUB.ASM,.ASM,24518,interrupt read,"{""interrupt"": 9, ""read"": 10}"
BIOS/VGA_PAL/EGATTY.ASM,.ASM,8651,read,"{""read"": 1}"
BIOS/VGA_PAL/EGDIAG.INC,.INC,10397,read,"{""read"": 9}"
BIOS/VGA_PAL/EGEQUS.INC,.INC,32180,interrupt read,"{""interrupt"": 3, ""read"": 13}"
BIOS/VGA_PAL/EGINIT.ASM,.ASM,28186,GRYPHON interrupt read,"{""GRYPHON"": 2, ""interrupt"": 3, ""read"": 16}"
BIOS/VGA_PAL/EGLITE.ASM,.ASM,1228,read,"{""read"": 2}"
BIOS/VGA_PAL/EGROLL.ASM,.ASM,16178,interrupt read,"{""interrupt"": 2, ""read"": 2}"
BIOS/VGA_PAL/FDECOD.ASM,.ASM,11219,GRYPHON interrupt read,"{""GRYPHON"": 7, ""interrupt"": 2, ""read"": 23}"
BIOS/VGA_PAL/FONTST.ASM,.ASM,30906,read,"{""read"": 1}"
BIOS/VGA_PAL/JOURNAL.DOC,.DOC,17185,GRYPHON interrupt read,"{""GRYPHON"": 20, ""interrupt"": 1, ""read"": 2}"
BIOS/VGA_PAL/PALETREG.ASM,.ASM,25075,interrupt read,"{""interrupt"": 1, ""read"": 29}"
BIOS/VGA_PAL/PLOGO.INC,.INC,17082,read,"{""read"": 2}"
BIOS/VGA_PAL/PRTSCR.ASM,.ASM,6439,interrupt read,"{""interrupt"": 1, ""read"": 4}"
BIOS/VGA_PAL/RDCHR.ASM,.ASM,8559,read,"{""read"": 43}"
BIOS/VGA_PAL/READCUR.ASM,.ASM,2495,read,"{""read"": 6}"
BIOS/VGA_PAL/READDOT.ASM,.ASM,5102,read,"{""read"": 12}"
BIOS/VGA_PAL/SETMOD.ASM,.ASM,52983,interrupt toc read,"{""interrupt"": 3, ""read"": 24, ""toc"": 6}"
BIOS/VGA_PAL/SETPALET.ASM,.ASM,9009,interrupt,"{""interrupt"": 2}"
BIOS/VGA_PAL/STATE.ASM,.ASM,20947,interrupt read,"{""interrupt"": 2, ""read"": 18}"
BIOS/VGA_PAL/STATUS.ASM,.ASM,4777,read,"{""read"": 1}"
BIOS/VGA_PAL/VESA.ASM,.ASM,84523,GRYPHON strategy interrupt read,"{""GRYPHON"": 13, ""interrupt"": 2, ""read"": 31, ""strategy"": 1}"
BIOS/VGA_PAL/VGA.MAP,.MAP,6338,GRYPHON read,"{""GRYPHON"": 1, ""read"": 3}"
BIOS/VGA_PAL/WRTCHR.ASM,.ASM,13091,interrupt,"{""interrupt"": 1}"
BIOS/VGA_PAL/WRTDOT.ASM,.ASM,4997,read,"{""read"": 1}"
BIOS/VGA/INT10/INT10.ASM,.ASM,4277,interrupt,"{""interrupt"": 3}"
BIOS/VGA/SAMPLE/DISPLAY.C,.C,16128,GRYPHON toc,"{""GRYPHON"": 1, ""toc"": 8}"
BIOS/VGA/SAMPLE/DISPLAY2.C,.C,16080,GRYPHON toc read,"{""GRYPHON"": 1, ""read"": 2, ""toc"": 8}"
BIOS/VGA/SAMPLE/FDISPLAY.C,.C,16042,GRYPHON toc,"{""GRYPHON"": 1, ""toc"": 8}"
BIOS/VGA/SAMPLE/README.DOC,.DOC,1673,GRYPHON,"{""GRYPHON"": 1}"
BIOS/VGA/TEST/EGAMTEST.ASM,.ASM,4147,read,"{""read"": 4}"
